"","V1","V2"
"761",51.112151,17.0638543
"762",51.0886203,17.0330666
"763",51.095928,16.94782
"764",51.092481,17.0448199
"765",51.0991551,17.1051627
"766",51.1199152,17.0462664
"767",51.0672238,17.0820329
"768",51.0495079,17.027444
"769",51.1659467,17.1040454
"770",51.136043,16.960631
"771",51.1759698,16.8333609
"772",51.062059,16.9965139
"773",51.0951649,16.9504777
"774",51.1759698,16.8333609
"775",51.1759698,16.8333609
"776",51.0562599,17.0096284
"777",51.0749629,16.9920972
"778",51.0808502,17.0856609
"779",51.0921219,17.028802
"780",51.0772943,17.09013
"781",51.1525527,16.9961459
"782",51.1186225,16.9983948
"783",51.145865,17.0259005
"784",51.0774747,17.0798352
"785",51.1015887,17.0504085
"786",51.1398019,16.9248001
"787",51.1001179,17.1598389
"788",51.1317294,16.9555941
"789",51.082642,17.002422
"790",51.1240509,17.034764
"791",51.0995088,17.0483376
"792",51.099998,17.0248
"793",51.0568117,17.0241215
"794",51.1718184,17.0230649
"795",51.1236265,17.0525972
"796",51.1031432,16.9512257
"797",51.1441781,17.1183903
"798",51.1027998,17.0326286
"799",51.07205,16.9683326
"800",51.1123746,16.988753
"801",51.1118866,16.9913515
"802",51.1092479,16.983659
"803",51.0767789,16.9537489
"804",51.1441781,17.1183903
"805",51.164505,17.1097224
"806",51.1111303,17.0274275
"807",51.101081,17.006442
"808",51.1105366,17.0374638
"809",51.0928363,17.0161256
"810",51.1095512,17.0273622
"811",51.1234153,17.0269482
"812",51.1528903,16.9474731
"813",51.0924598,17.0162223
"814",51.0923446,17.0162571
"815",51.0927389,17.045323
"816",51.1114678,17.0559659
"817",51.08457,17.0093849
"818",51.0670921,16.9964144
"819",51.0564743,17.0095061
"820",51.076195,17.037518
"821",51.1188103,17.0404787
"822",51.068813,17.040053
"823",51.1061296,17.1044146
"824",51.0818449,16.9635209
"825",51.061982,16.985276
"826",51.0893211,17.0159984
"827",51.1189186,17.1228014
"828",51.1052549,17.048337
"829",51.1109111,17.1020038
"830",51.1130689,17.054406
"831",51.0984269,16.930316
"832",51.157244,17.0936929
"833",51.1151728,17.0623875
"834",51.1276268,16.9812796
"835",51.101002,17.0526965
"836",51.1186018,17.0284503
"837",51.104845,17.085279
"838",51.1097879,16.955222
"839",51.101329,17.0172609
"840",51.1221742,17.0324646
"841",51.1195829,17.0344451
"842",51.1220318,17.0374363
"843",51.103192,17.0208402
"844",51.1690664,17.1159546
"845",51.0974916,16.9502662
"846",51.127434,17.029516
"847",51.1012141,17.1052427
"848",51.1207413,17.1142297
"849",51.168737,17.0055549
"850",51.1061143,17.0430773
"851",51.061473,16.986263
"852",51.106738,17.0190029
"853",51.1747759,16.907985
"854",51.061473,16.986263
