"";"Numer.......................................wpisu";"ImiÍ.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesiπc.wniosku";"data";"Czas.rozpatrzenia";"data_miesiac";"pora_roku";"lon";"lat"
"21784";1774;"";"";"Przyjaüni 103B ";"bud.o trzech i wiÍcej mieszkaniach";"odmowa";"przebudowa";"2015-05-14";"15474/15";"3448/15";"2015-07-09";2015;5;"2015-05-01";41;"2015_05";"Wiosna";16,9959079;51,0670121
"21785";1775;"";"";"Paderewskiego Ignacego Jana Al. 35 ";"boiska i budowle sportowe";"remont wieø oúwietleniowych wraz z oúwietleniem stadionowym.";"remont";"2015-06-03";"18119/15";"3450/15";"2015-07-09";2015;6;"2015-06-01";27;"2015_06";"Lato";17,0906506;51,1179435
"21786";1776;"";"";"Trzebnicka  46 ";"bud.o trzech i wiÍcej mieszkaniach";"wewnÍtrzna instalacja gazu";"inst.wewnÍtrzna";"2015-06-03";"17988/15";"3452/15";"2015-07-09";2015;6;"2015-06-01";27;"2015_06";"Lato";17,0359659;51,126801
"21787";1777;"";"";"Hutnicza  10 ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazy w lokalu mieszkalnym";"inst.wewnÍtrzna";"2015-06-16";"19451/15";"3453/15";"2015-07-09";2015;6;"2015-06-01";18;"2015_06";"Lato";16,959177;51,133426
"21788";1778;"";"";"Gdacjusza Adama 26 ";"bud.mieszkalne jednorodzinne";"wewnÍtrzna instalacja gazu";"inst.wewnÍtrzna";"2015-07-02";"21706/15";"3454/15";"2015-07-09";2015;7;"2015-07-01";6;"2015_07";"Lato";16,9252111;51,1190856
"21789";1779;"";"";"Solskiego Ludwika 13 ";"bud.szkÛ≥ i instytucji badawczych";"montaø systemu detekcji gazu w budynku";"inst.wewnÍtrzna";"2015-05-26";"16814/15";"3455/15";"2015-07-09";2015;5;"2015-05-01";33;"2015_05";"Wiosna";16,9657804;51,0785885
"21790";1780;"";"";"Robotnicza  ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej";"nowe";"2015-05-18";"15771/15";"3458/15";"2015-07-09";2015;5;"2015-05-01";39;"2015_05";"Wiosna";17,0015052;51,1116155
"21791";1781;"";"";"Uczniowska  27 ";"bud.mieszkalne jednorodzinne";"rozbudowa budynku mieszkalnego jednorodzinnego";"rozbudowa";"2015-04-27";"13259/15";"3459/15";"2015-07-09";2015;4;"2015-04-01";54;"2015_04";"Wiosna";17,026756;51,058124
"21792";1782;"";"";"Robotnicza  ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej nn wraz ze z≥πczem kablowym oraz rozbiÛrkÍ linii napowietrznej nn";"nowe";"2015-05-18";"15772/15";"3460/15";"2015-07-09";2015;5;"2015-05-01";39;"2015_05";"Wiosna";17,0015052;51,1116155
"21793";1783;"";"";"Czarnieckiego Stefana  30 ";"bud.o trzech i wiÍcej mieszkaniach";"remont balkonÛw budynku wielorodzinnego";"remont";"2015-06-15";"19423/15";"3462/15";"2015-07-09";2015;6;"2015-06-01";19;"2015_06";"Lato";17,0090623;51,1153782
"21794";1784;"";"";"Szczytnicka 9 ";"bud.biurowe";"przebudowa czÍúci budynku biurowego";"przebudowa";"2015-06-12";"19226/15";"3464/15";"2015-07-09";2015;6;"2015-06-01";20;"2015_06";"Lato";17,0512002;51,1135801
"21795";1785;"";"";"Czarnieckiego Stefana 2 ";"bud.o trzech i wiÍcej mieszkaniach";"remont balkonÛw budynku wielorodzinnego";"remont";"2015-06-15";"19422/15";"3465/15";"2015-07-09";2015;6;"2015-06-01";19;"2015_06";"Lato";17,0121012;51,1150041
"21796";1786;"";"";"Stanis≥awskiego Jana  35";"bud.o dwÛch mieszkaniach";"montaø wewnÍtrznej instalacji gazu oraz instalacji centralnego ogrzewania w loaklu nr 2";"inst.wewnÍtrzna";"2015-06-01";"17738/15";"3466/15";"2015-07-09";2015;6;"2015-06-01";29;"2015_06";"Lato";17,1059523;51,098312
"21797";1787;"";"";"Damrota Konstantego Ks.15 ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazowej w lokalu mieszkalnym nr 5";"inst.wewnÍtrzna";"2015-05-28";"17399/15";"3467/15";"2015-07-09";2015;5;"2015-05-01";31;"2015_05";"Wiosna";17,0537603;51,1263155
"21798";1788;"";"";"MaleczyÒskich Ewy i Karola 70 ";"bud.mieszkalne jednorodzinne";"montaø wewnÍtrznej instalacji gazu w budynku mieszkalnym.";"inst.wewnÍtrzna";"2015-06-01";"17693/15";"3469/15";"2015-07-09";2015;6;"2015-06-01";29;"2015_06";"Lato";16,9758407;51,0739394
"21799";1789;"";"";"Buforowa  ";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablowej úredniego napiÍcia oraz kontenerowej stacji transformatowej.";"nowe";"2015-06-02";"17946/15";"3470/15";"2015-07-09";2015;6;"2015-06-01";28;"2015_06";"Lato";17,0570783;51,0574178
"21800";1790;"";"";"S≥owackiego Juliusza Aleja  ";"ulice i drogi pozosta≥e";"budowa zjazdu";"nowe";"2015-05-20";"16157/15";"3472/15";"2015-07-09";2015;5;"2015-05-01";37;"2015_05";"Wiosna";17,0440123;51,1087445
"21801";1791;"";"";"åredzka  34 ";"bud.handlowo-uslugowe";"przebudowa istniejπcego lokalu us≥ugowego na aptekÍ ogÛlnodostÍpnπ.";"przebudowa";"2015-06-26";"20893/15";"3473/15";"2015-07-09";2015;6;"2015-06-01";10;"2015_06";"Lato";16,8667379;51,1461769
"21802";1792;"";"";"PowstaÒcÛw ålπskich  175A ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa mieszkania";"przebudowa";"2015-06-26";"21040/15";"3478/15";"2015-07-09";2015;6;"2015-06-01";10;"2015_06";"Lato";17,008793;51,0831049
"21803";1793;"";"";"Suwalska  ";"bud.o trzech i wiÍcej mieszkaniach";"budowa budynku wielorodzinnego wraz z przy≥πczem wodnym i kanalizacji sanitarnej oraz instalacjami zewnÍtrznymi:gazowymi, wodnymi, kan.sanitarnej,deszczowejl";"nowe";"2015-04-29";"13685/15";"3484/15";"2015-07-09";2015;4;"2015-04-01";52;"2015_04";"Wiosna";16,9293442;51,1546807
"21804";1794;"";"";"Stanis≥awowska  65 ";"bud.o trzech i wiÍcej mieszkaniach";"budowa budynku mieszkalnego wielorodzinnego";"nowe";"2015-04-20";"12233/15";"3485/15";"2015-07-09";2015;4;"2015-04-01";59;"2015_04";"Wiosna";16,945933;51,0977199
"21805";1795;"";"";"Grunwaldzka  11 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego nr 2 w wielorodzinnym budynku";"przebudowa";"2015-04-24";"12965/15";"3486/15";"2015-07-09";2015;4;"2015-04-01";55;"2015_04";"Wiosna";17,056366;51,1145439
"21806";1796;"";"";"Cegielskiego Hipolita  ";"bud.o dwÛch mieszkaniach";"umorzenie";"nowe";"2015-05-08";"14785/15";"3489/15";"2015-07-10";2015;5;"2015-05-01";46;"2015_05";"Wiosna";17,0597287;51,0635378
"21807";1797;"";"";"Kopernika Miko≥aja 9 ";"bud.biurowe";"remont i przebudowa pomieszczeÒ piwnicznych.";"remont";"2015-06-23";"20334/15";"3490/15";"2015-07-10";2015;6;"2015-06-01";14;"2015_06";"Lato";17,0848128;51,1076033
"21808";1798;"";"";"Kwiatkowskiego Eugeniusza  ";"bud.przemys≥owe";"przebudowa pomieszczenia biurowego";"przebudowa";"2015-06-12";"19155/15";"3491/15";"2015-07-10";2015;6;"2015-06-01";21;"2015_06";"Lato";16,9575652;51,0648122
"21809";1799;"";"";"Staffa Leopolda 25 ";"bud.mieszkalne jednorodzinne";"odmowa";"rozbudowa";"2015-05-08";"14651/15";"3492/15";"2015-07-10";2015;5;"2015-05-01";46;"2015_05";"Wiosna";17,0587333;51,1404685
"21810";1800;"";"";"Dubois Stanis≥awa 39 ";"bud.o trzech i wiÍcej mieszkaniach";"wewnÍtrzna instalacja gazu";"inst.wewnÍtrzna";"2015-06-17";"19698/15";"3499/15";"2015-07-10";2015;6;"2015-06-01";18;"2015_06";"Lato";17,0284233;51,1184578
"21811";1801;"";"";"WiÒska  ";"rurociπgi wodociπg.sieci rozdzielczej";"sieci wodociπgowej na odcinku od ul. Watowej";"nowe";"2015-05-22";"16590/15";"3500/15";"2015-07-10";2015;5;"2015-05-01";36;"2015_05";"Wiosna";16,8337291;51,175045
"21812";1802;"";"";"Starobielawska 61 ";"bud.o dwÛch mieszkaniach";"montaø wewnÍtrznej instalacji gazu dla lokalu mieszkalnego nr 2";"inst.wewnÍtrzna";"2015-05-14";"15441/15";"3501/15";"2015-07-10";2015;5;"2015-05-01";42;"2015_05";"Wiosna";16,914576;51,157412
"21813";1803;"";"";"Gajowa  76 ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazowej w lokalu mieszkalnym";"inst.wewnÍtrzna";"2015-03-25";"9395/15";"3503/15";"2015-07-10";2015;3;"2015-03-01";78;"2015_03";"Wiosna";17,040686;51,08824
