"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"2568";536;"";"";"Kamieñskiego Henryka Micha³a 266 ";"bud.mieszkalne jednorodzinne";"budowa jednorodzinnego budynku w zabudowie szeregowej";"nowe";"2016-02-04";"3469/16";"1012/16";"2016-03-07";2016;2;"2016-02-01";23;17,0451916;51,1630208
"2569";566;"";"";"Azaliowa  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-12-28";"42319/15";"1063/16";"2016-03-09";2015;12;"2015-12-01";53;17,11111;51,1653081
"2570";567;"";"";"£anowskiego Jerzego 1 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2016-02-22";"5444/16";"1066/16";"2016-03-09";2016;2;"2016-02-01";13;17,0385376;51,1078852
"2571";571;"";"";"Postêpowa  6B ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego z gara¿em";"nowe";"2016-01-22";"1925/16";"1072/16";"2016-03-09";2016;1;"2016-01-01";34;16,939504;51,0968899
"2572";612;"";"";"Bêdziñska  1A ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-12-17";"41519/15";"1152/16";"2016-03-14";2015;12;"2015-12-01";63;17,0341719;51,066581
"2573";641;"";"";"Zgorzelisko,AM-1,dz.34";"bud.o trzech i wiêcej mieszkaniach";"budowa trzech budynków mieszkalnych";"nowe";"2016-02-19";"5071/16";"1202/16";"2016-03-17";2016;2;"2016-02-01";20;17,0385376;51,1078852
"2574";642;"";"";"Baudouina De Courtenay J.  15 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-12-09";"40488/15";"1204/16";"2016-03-17";2015;12;"2015-12-01";72;17,0723687;51,1251962
"2575";658;"";"";"Nadolicka 5 ";"bud.mieszkalne jednorodzinne";"budynek mieszkalny jednorodzinny z zagospodarowaniem terenu";"nowe";"2016-01-07";"368/16";"1242/16";"2016-03-21";2016;1;"2016-01-01";53;17,1604878;51,0972893
"2576";682;"";"";"Paw³owice,AM-1,dz.48/8";"bud.o dwóch mieszkaniach";"budowa budynku mieszkalnego jednorodzinnego dwulokalowego";"nowe";"2015-12-17";"41516/15";"1285/16";"2016-03-23";2015;12;"2015-12-01";70;17,0385376;51,1078852
"2577";687;"";"";"A³unowa  Polanowice,AM-10,dz.26/9";"bud.mieszkalne jednorodzinne";"budowa budynkow mieszkalnych jednorodzinnych w zabudowie bliŸniaczej";"nowe";"2016-02-05";"3569/16";"1292/16";"2016-03-23";2016;2;"2016-02-01";34;17,0385376;51,1078852
"2578";695;"";"";"Ananasowa  Stab³owice,AM-17,dz.7/1,7/2,173/1";"bud.mieszkalne jednorodzinne";"budowa 5 budynków  w zabudowie szeregowej";"nowe";"2016-02-03";"3312/16";"1309/16";"2016-03-24";2016;2;"2016-02-01";37;17,0385376;51,1078852
"2579";706;"";"";"Steinhausa Hugona  Oporów,AM-8,dz.204/6";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2016-02-15";"4520/16";"1323/16";"2016-03-24";2016;2;"2016-02-01";29;17,0385376;51,1078852
"2580";707;"";"";"Ziemniaczana  Bieñkowice,AM-8,dz.78/3";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego";"nowe";"2016-02-01";"2936/16";"1327/16";"2016-03-24";2016;2;"2016-02-01";39;17,0385376;51,1078852
